Key,en,kk
pokedex.stats.specialDefenseLong,Special Defense,Арнайы Қорғаныс
pokedex.stats.speed,Speed,Жылд.
pokedex.stats.speedLong,Speed,Жылдамдық
pokedex.stats.total,Total,Жалпы
pokedex.stats.totalLong,Total,Жалпы
pokedexHelp.searchByName.heading,Search by name,Атымен іздеу
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.","Сіз Покемонды атымен іздей аласыз. Егер Покемон атының тек бір бөлігі ғана есіңізде болса, ол әлі де Покемонды табуы мүмкін. Бірақ, әзірге қателіктермен іздей алмайды."
pokedexHelp.searchByNumber.heading,Search by number,Нөмірмен іздеу
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, just type 1, not #001.","Ұлттық декс нөмірімен іздеу. Егер Бульбазаврды тапқыңыз келсе, тек 1 деп теріңіз, #001 деп емес."
pokedexHelp.searchByType.heading,Search by type,Типі арқылы іздеу
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Мында тип арқылы іздеудің бірнеше мысалдары бар.
pokedexHelp.searchExamples.type.query,fire,отты
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Отты типі екі типінің әлдебірі болатын Покемонды іздеу(мысалға Чармандер, Чаризард, Ротом)."
pokedexHelp.searchExamples.doubleType.query,water flying,сулы ұшқыш
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,Типі сулы/ұшқыш (мысалға Гиярадос) немесе ұшқыш/сулы (мысалға Краморант) болатын Покемонды іздеу.
pokedexHelp.searchExamples.singleType.query,grass none,шөпті ештеңе
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","Тек шөпті типі бар және екінші типі жоқ Покемонды іздеу (мысалға Танжелла, Чикорита, Лилигант)."
pokedexHelp.back,Back to Pokédex,Покедекске қайту
more.contact.heading,Contact me,Менімен Байланысыңыз
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","Сәлем, мен <homepage>Брайанмын</homepage> (ол/олар(they/them)), және мен Покемон Тип Калькуляторын жасадым(pkmn.help)."
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,"Өтініш, өз ойларыңызды және рақметтеріңізді <email>pkmn@wavebeem.com</email> поштасына жіберіңіз."
more.settings.heading,Settings,Баптаулар
more.settings.language.label,Language,Тіл
more.settings.language.default,Auto detect language,Авто танылған тіл
more.settings.language.official,Official languages,
more.settings.language.unofficial,Unofficial languages,
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.","Тіл қолдауы әлі бітпеген. Өтініш, маған поштаға жазыңыз, мен сізге аударуыңызға төлеймін."
more.settings.theme.label,Theme,Тақырып
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,"Жүйелік бастапқы"" сіздің операциялық жүйе баптауларыңызға байланысты өзгереді."
more.settings.theme.values.auto,System default,Жүйелік бастапқы
more.settings.theme.values.light,Light,Жарқын
more.settings.theme.values.dark,Dark,Қараңғы
more.settings.typeCount.label,Number of types,Типтер саны
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,"Покемондар Forests's Curse немесе Trick-or-Treat-пен шабулданса шынында да үш типті болуы мүмкін. Үшінші тип бастапқыдан тығулы, себебі оны сирек қолданады."
more.settings.typeCount.values.2,Two types (2),Екі тип (2)
more.settings.typeCount.values.3,Three types (3),Үш тип (3)
more.changes.heading,What’s new,
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,
more.help.heading,Help,Көмек
more.help.serviceWorker.description,This button can help fix issues in the app.,Мына батырма бағдарламадағы барлық қателіктерді түзеуге көмектеседі.
more.help.serviceWorker.button,Reset,Қайта жүктеу
more.privacy.heading,Privacy,Құпиялылық
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.","Мен ешқашан жарнама ойнатпаймын және жеке ақпаратыңызды ұрламаймын. Мен <plausible>Plausible Analytics</plausible> қолданамын, бұл сайт өзі қамтамасыз етілген, тәуелсіз, ЕО-да қосылған болып табылады және сіздің компьютеріңізде куки сақтамайды."
more.givingBack.heading,Showing appreciation,Алғыс Білдіру
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.","Мен осы сайтты жақсартуға шексіз көп сағат жұмсадым. Егер сіз жасаған ісіме алғыс білдіргіңіз келсе, өтініш, BIPOC-ты және трансгендер құқықтарын қорғайтын қайырымдылық қорларына садақа беру туралы ойланыңыз."
more.thanks.heading,Special thanks,Арнайы Алғыс
more.thanks.sections.da,Danish translation,Danish translation
more.thanks.sections.ru,Russian translation,Орысша аудармасы
more.thanks.sections.kk,Kazakh translation,Қазақша аудармасы
more.thanks.sections.pt-PT,Portuguese (Portugal) translation,
more.thanks.sections.pt-BR,Portuguese (Brazil) translation,Бразильша Португалша аудармасы
more.thanks.sections.zh-Hans,Simplified Chinese translation,Қытайша аудармасы
more.thanks.sections.zh-Hant,Traditional Chinese translation,
more.thanks.sections.no,Norwegian translation,
more.thanks.sections.ro,Romanian translation,Румынша аудармасы
more.thanks.sections.pl,Polish translation,
more.thanks.sections.fr,French translation,Французша аудармасы
more.thanks.sections.de,German translation,Немісше аудармасы
more.thanks.sections.it,Italian translation,Италианша аудармасы
more.thanks.sections.ko,Korean translation,
more.thanks.sections.ja,Japanese translation,Жапонша аудармасы
more.thanks.sections.nl,Dutch translation,
more.thanks.sections.testing,Testing,Тестілеу
more.thanks.sections.other,Several anonymous Poké Fans,Бірнеше анонимды Поке Фандар
more.openSource.heading,Open source,Ашық Дереккөз
more.openSource.description,Source code is available on <github>GitHub</github>.,Дереккөз кодын <github>GitHub<github> сайтынан таба аласыз.
more.legalInfo.heading,Legal info,Заңды Ақпарат
types.normal,Normal,Кәдімгі
types.fighting,Fighting,Жауынгер
types.flying,Flying,Ұшатын
types.poison,Poison,Улы
types.ground,Ground,Жер
types.rock,Rock,Тасты
types.bug,Bug,Жәндікті
types.ghost,Ghost,Әруақ
types.steel,Steel,Болатты
types.fire,Fire,Отты
types.water,Water,Сулы
types.grass,Grass,Шөпті
types.electric,Electric,Электр
types.psychic,Psychic,Психо
types.ice,Ice,Мұзды
types.dragon,Dragon,Айдаһар
types.dark,Dark,Қараңғы
types.fairy,Fairy,Ғажайып
types.stellar,Stellar,
types.none,None,Ешқай
banners.updateReady.description,An update is available,Жаңарту жүргізуге болады
banners.updateReady.whatsNew,What’s new,
banners.updateReady.update,Update,Жаңарту
general.loading,Loading…,Жүктелуде...
general.copyLink,Copy link,
games.label,Game generation,Ойын Ұрпақтары
games.help,Use type effectiveness from different game generations.,Әртүрлі ойындар ұрпақтарынан типтік нәтижеліктерін қолдана аласыз.
games.byID.gen1,Generation 1,Ұрпақ 1
games.byID.gen2,Generation 2–5,Ұрпақ 2-5
games.byID.default,Default (generation 6+),Бастапқы (ұрпақ 6+)
