Key,en,vi
defense.team.empty,No Pokémon selected,Không có Pokémon nào được chọn
defense.team.displayType,Table format,Chọn bảng định dạng
defense.team.weak,Weak,Yếu thế
defense.team.resist,Resist,Kháng cự
defense.team.simple,Simple,Đơn giản
defense.team.complex,Complex,Cầu kì
defense.team.type,Type,Hệ
defense.team.edit,Edit,Chỉnh sửa
defense.team.remove,Remove,Xóa
pokedex.search.description,"Search by name, number, or types","Tìm kiếm bằng tên, số, hoặc hệ"
pokedex.search.help,Help,Trợ giúp
pokedex.search.helpLong,"Help, search Pokédex","Trợ giúp, tìm kiếm Pokédex"
pokedex.search.notFound,No Pokémon found,Không tìm kiếm được Pokémon
pokedex.offense.text,Offense,Tấn Công
pokedex.defense.text,Defense,Phòng Thủ
pokedex.cry.text,Cry,Tiếng kêu
pokedex.shiny.text,Shiny,Shiny
pokedex.pagination.next,Next,Tiếp
pokedex.pagination.nextLong,Next,Tiếp
pokedex.pagination.previous,Prev,Trước
pokedex.pagination.previousLong,Previous,Trước
pokedex.pagination.firstLong,First,Trang đầu
pokedex.pagination.lastLong,Last,Trang cuối
pokedex.sorting.sortBy,Sort by,
pokedex.sorting.auto,Auto,
pokedex.stats.hp,HP,HP/Máu
pokedex.stats.hpLong,Hit Points,HP/Máu
pokedex.stats.attack,Attack,Tấn Công VL
pokedex.stats.attackLong,Attack,Tấn Công Vật Lý
pokedex.stats.defense,Defense,Phòng Thủ VL
pokedex.stats.defenseLong,Defense,Phòng Thủ Vật Lý
pokedex.stats.specialAttack,Sp. Atk.,Tấn Công ĐB
pokedex.stats.specialAttackLong,Special Attack,Tấn Công Đặc Biệt
pokedex.stats.specialDefense,Sp. Def.,Phòng Thủ ĐB
pokedex.stats.specialDefenseLong,Special Defense,Phòng Thủ Đặc Biệt
pokedex.stats.speed,Speed,Tốc Độ
pokedex.stats.speedLong,Speed,Tốc Độ
pokedex.stats.total,Total,Tổng Chỉ Số (BST)
pokedex.stats.totalLong,Total,Tổng Chỉ Số
pokedexHelp.searchByName.heading,Search by name,Tìm kiếm bằng tên
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.","Bạn có thể tìm kiếm một Pokémon bằng tên. Nếu bạn chỉ có thể nhớ mang máng tên, hệ thống tìm kiếm có thể vẫn sẽ giúp bạn tìm được Pokemon bạn muốn, trừ khi bạn đánh sai tên."
pokedexHelp.searchByNumber.heading,Search by number,Tìm kiếm bằng số Pokédex
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, type 1, #1, 001, #0001, etc.","Tìm kiếm bằng số Pokédex. Ví dụ: Nếu bạn muốn tìm Bulbasaur, đánh '1', thay vì '#001'."
pokedexHelp.searchByType.heading,Search by type,Tìm kiếm bằng hệ
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Đây là một vài ví dụ cách để tìm Pokémon bằng tên hệ.
pokedexHelp.searchExamples.type.query,fire,giacdau
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have Fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Tìm kiếm các Pokémon hệ Giác Đấu trong tất cả forms (hình dạng) (ví dụ: Machamp, Lucario, Blaziken). LƯU Ý: Đánh ""giacdau"" liền kề không cách."
pokedexHelp.searchExamples.doubleType.query,water flying,nước bay
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either Water/Flying (e.g. Gyarados) or Flying/Water (e.g. Cramorant).,Tìm kiếm các Pokémon thuộc song hệ Nước/Bay (ví dụ: Gyarados) hay Bay/Nước (ví dụ: Cramorant).
pokedexHelp.searchExamples.singleType.query,grass none,cỏ trống
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only Grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","Tìm kiếm các Pokémon chỉ thuộc hệ Cỏ và không hệ thứ hai nào khác (ví dụ: Tangela, Chikorita, Lilligant)."
pokedexHelp.back,Back to Pokédex,Quay lại trang Pokédex
more.contact.heading,Contact me,Liên hệ với tôi
more.contact.intro,"Hi, I'm <homepage>Sage</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","Xin chào, tôi là <homepage>Sage</homepage> vào tôi là người tạo ra trang web Máy Tính Toán Hệ trong Pokémon này (pkmn.help)."
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,Bạn có thể email bất kể câu hỏi và cảm ơn đến <email>pkmn@wavebeem.com</email>.
more.settings.heading,Settings,Cài Đặt
more.settings.language.label,Language,Ngôn Ngữ
more.settings.language.default,Auto detect language,Tự động nhận dạng ngôn ngữ
more.settings.language.official,Official languages,Ngôn ngữ chính thức
more.settings.language.unofficial,Unofficial languages,Ngôn ngữ không chính thức
more.settings.theme.label,Theme,Nền
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,"""Hệ thống mặc định"" sẽ tự động thay đổi dựa trên cài đặt của bạn."
more.settings.theme.values.auto,System default,Hệ thống mặc định
more.settings.theme.values.light,Light,Sáng
more.settings.theme.values.dark,Dark,Tối
more.settings.theme.values.night,Night,Đêm
more.settings.typeCount.label,Number of types,Số lượng hệ
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,Pokémon có thể có đến 3 hệ (tạm thời) nếu như Pokémon bị dính bời Nguyền Rủa Rừng (Forest's Curse) hoặc Trick-or-Treat. Lựa chọn '3 hệ' bị giấu mặc định do sự hiếm hoi để xảy ra.
more.settings.typeCount.values.2,Two types (2),Hai hệ (2)
more.settings.typeCount.values.3,Three types (3),Ba hệ (3)
more.changes.heading,What’s new,Có gì mới?
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,Xem các tin tức trong <changelog>trang nhật ký update</changelog> (Tiếng Anh).
more.help.heading,Help,Hỗ Trợ
more.help.serviceWorker.description,This button can help fix issues in the app.,"Nếu bạn gặp vấn đề trong app, hãy ấn nút này."
more.help.serviceWorker.button,Reset,Khởi Động lại
more.privacy.heading,Privacy,Riêng Tư
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.","Tôi sẽ không bao giờ chạy ad hay trộm thông tin riêng tư của bạn. Tôi dùng <plausible>Plausible Analytics</plausible>, một trang web độc lập tự tài trợ ở Liên Minh Châu Âu (EU) không dự trữ cookie vào máy tính của bạn."
more.givingBack.heading,Showing appreciation,Bày tỏ đánh giá
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.","Tôi đã dành bao thời gian cải thiện trang web này. Nếu bạn đánh giá cao thành quả của tôi, nếu có thể, xin bạn quyên góp cho các từ thiện chống phân biệt người da màu và người chuyển giới."
more.thanks.heading,Credits,Chân thành cảm ơn đến
more.thanks.description,See everyone who's helped make this website in the <credits>credits</credits>.,Xem <credits>trang ghi công</credits> để thấy tất cả những người đã giúp làm trang web này (Tiếng Anh).
more.openSource.heading,Open source,Nguồn mở
more.openSource.description,Source code is available on <github>GitHub</github>.,Bản code có sẵn trên <github>GitHub</github>.
more.legalInfo.heading,Legal info,Thông tin pháp lý
types.normal,Normal,Thường
types.fighting,Fighting,Giác Đấu
types.flying,Flying,Bay
types.poison,Poison,Độc
types.ground,Ground,Đất
types.rock,Rock,Đá
types.bug,Bug,Bọ
types.ghost,Ghost,Ma
types.steel,Steel,Thép
types.fire,Fire,Lửa
types.water,Water,Nước
types.grass,Grass,Cỏ
types.electric,Electric,Điện
types.psychic,Psychic,Tâm Linh
types.ice,Ice,Băng
types.dragon,Dragon,Rồng
types.dark,Dark,Bóng Tối
types.fairy,Fairy,Tiên
types.stellar,Stellar,Stellar
types.none,None,Trống
banners.updateReady.description,An update is available,Có update mới!
banners.updateReady.whatsNew,What’s new,Tin tức mới
banners.updateReady.update,Update,Update
general.loading,Loading…,Đang load...
general.copyLink,Copy link,Sao chép link
games.label,Game generation,Thế hệ (Generation)
games.help,Use type effectiveness from different game generations.,Xác định cơ chế điểm mạnh và yếu của các hệ từ các thế hệ khác nhau.
games.byID.gen1,Generation 1,Thế hệ 1
games.byID.gen2,Generation 2–5,Thế hệ 2–5
games.byID.default,Generation 6+,Thế hệ 6 trở đi (mặc định)
