Key,en,da
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.",Du can søge efter en pokémon via navnet. Hvis du kun kan huske en del af navnet kan den nok stadig finde den for dig. Den virker ikke hvis der der stavefejl lige nu.
pokedexHelp.searchByNumber.heading,Search by number,Søg via nummer/tal
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, just type 1, not #001.","Søg via national dex nummer. Hvis du vil finde Bulbasaur skal du skrive 1, ikke #001."
pokedexHelp.searchByType.heading,Search by type,Søg via type
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Her er et par eksempler på hvordan man søger via typer
pokedexHelp.searchExamples.type.query,fire,Ild
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Søg efter Pokémons der har ild type i en hvilken som helst form(Fx Charmander, Charizard eller Rotom)"
pokedexHelp.searchExamples.doubleType.query,water flying,Vand Flyvende
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,Søg efter Pokémon som enten har vand/flyvende (fx Gyarados) eller flyvende/vand (fx Cramorant)
pokedexHelp.searchExamples.singleType.query,grass none,Gras ingen
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","Søg efter Pokémon der kun er gras typer, ingen anden type (Fx Tangela, Chikorita, Lilligant)"
pokedexHelp.back,Back to Pokédex,Gå tilbage til Pokédexet
more.contact.heading,Contact me,Kontakt mig
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","Hej, jeg <homepage>Sage Fennel</homepage> (they/them) og jeg lavede Pokémon type lommeregner/calculator (pkmn.help)"
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,Email venligst din taknemmelighed til <email>pkmn@wavebeem.com</email>.
more.settings.heading,Settings,Indstillinger
more.settings.language.label,Language,Sprog
more.settings.language.default,Auto detect language,Opdag automatisk sprog
more.settings.language.official,Official languages,
more.settings.language.unofficial,Unofficial languages,
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.","Sprog understyttelsen er ukomplet. Venligst email mig, Jeg vil betale dig for at oversætte."
more.settings.theme.label,Theme,Tema
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,"""System standard"" vil ændre automatisk alt efter dine OS indstillinger."
more.settings.theme.values.auto,System default,System Standard
more.settings.theme.values.light,Light,Lys
more.settings.theme.values.dark,Dark,Mørk
more.settings.typeCount.label,Number of types,Antal typer
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,Pokemon kan midlertidigt have 3 typer på samme tid hvis de bliver ramt af Forest's curse eller Trick or Treat. Det trejde type felt bliver som standard gemt siden den sjældent bliver brugt.
more.settings.typeCount.values.2,Two types (2),To typer (2)
more.settings.typeCount.values.3,Three types (3),Tre typer (3)
more.changes.heading,What’s new,
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,
more.help.heading,Help,Hjælp
more.help.serviceWorker.description,This button can help fix issues in the app.,Denne knap kan fikse problemer i appen
more.help.serviceWorker.button,Reset,Genstart
more.privacy.heading,Privacy,Privatliv
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.","Jeg vil aldrig bruge reklamer eller stjæle din data. Jeg bruger <plausible>Plausible Analytics</plausible>, hvilket er selvfinanseret, uafhængig, hosted i EU og gemmer ingen cookies i din computer/pc."
more.givingBack.heading,Showing appreciation,Viser taknemmelighed
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.","Jeg har brugt utallige timer på at forbedre denne hjemmeside. Hvis du er glad for hvad jeg har lavet, så tænk venligst over at donere til velgørenheder der stytter BIPOC og transkønnets rettigheder"
more.thanks.heading,Special thanks,Tusind tak til
more.thanks.sections.da,Danish translation,Dansk oversættelse
more.thanks.sections.ru,Russian translation,Russisk oversættelse
more.thanks.sections.kk,Kazakh translation,Kazakhstan oversættelse
more.thanks.sections.pt-PT,Portuguese (Portugal) translation,
more.thanks.sections.pt-BR,Portuguese (Brazil) translation,Brazillensk portugisisk oversættelse
more.thanks.sections.zh-Hans,Simplified Chinese translation,Kinesisk oversættelse
more.thanks.sections.zh-Hant,Traditional Chinese translation,
more.thanks.sections.no,Norwegian translation,
more.thanks.sections.ro,Romanian translation,Rumænsk oversættelse
more.thanks.sections.pl,Polish translation,
more.thanks.sections.fr,French translation,Fransk oversættelse
more.thanks.sections.de,German translation,Tysk oversættelse
more.thanks.sections.it,Italian translation,Italiensk oversættelse
more.thanks.sections.ko,Korean translation,
more.thanks.sections.ja,Japanese translation,Japansk oversættelse
more.thanks.sections.nl,Dutch translation,
more.thanks.sections.testing,Testing,Tests
more.thanks.sections.other,Several anonymous Poké Fans,Mange anonyme Poké fans
more.openSource.heading,Open source,Open source
more.openSource.description,Source code is available on <github>GitHub</github>.,Du kan finde kildekoden på <github>GitHub</github>.
more.legalInfo.heading,Legal info,Legal info
types.normal,Normal,Normal
types.fighting,Fighting,Kamp
types.flying,Flying,Flyvende
types.poison,Poison,Gift
types.ground,Ground,Jord
types.rock,Rock,Sten
types.bug,Bug,Insekt
types.ghost,Ghost,Spøgelse
types.steel,Steel,Stål
types.fire,Fire,Ild
types.water,Water,Vand
types.grass,Grass,Gras
types.electric,Electric,Elektricitet
types.psychic,Psychic,Psykisk
types.ice,Ice,Is
types.dragon,Dragon,Drage
types.dark,Dark,Mørk
types.fairy,Fairy,Fe
types.stellar,Stellar,
types.none,None,Ingen
banners.updateReady.description,An update is available,En opdatering er mulig at udføre
banners.updateReady.whatsNew,What’s new,
banners.updateReady.update,Update,Opdater
general.loading,Loading…,Loader...
general.copyLink,Copy link,
games.label,Game generation,Spil generation
games.help,Use type effectiveness from different game generations.,Brug type effektiviteter fra andre spil generationer
games.byID.gen1,Generation 1,Generation 1
games.byID.gen2,Generation 2–5,Generation 2-5
games.byID.default,Default (generation 6+),Standard (Generation 6+)
