Key,en,pt-BR
pokedex.stats.hp,HP,Vida
pokedex.stats.hpLong,Hit Points,Pontos de vida
pokedex.stats.attack,Attack,Ataque
pokedex.stats.attackLong,Attack,Ataque
pokedex.stats.defense,Defense,Defesa
pokedex.stats.defenseLong,Defense,Defesa
pokedex.stats.specialAttack,Sp. Atk.,Ataque esp.
pokedex.stats.specialAttackLong,Special Attack,Ataque especial
pokedex.stats.specialDefense,Sp. Def.,Defesa esp.
pokedex.stats.specialDefenseLong,Special Defense,Defesa especial
pokedex.stats.speed,Speed,Velocidade
pokedex.stats.speedLong,Speed,Velocidade
pokedex.stats.total,Total,Total
pokedex.stats.totalLong,Total,Total
pokedexHelp.searchByName.heading,Search by name,Procura por nome
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.","Pode procurar um Pokémon pelo nome. Mesmo se lembrar apenas uma parte do nome, ainda assim pode ser encontrado para você. No entanto, não encontra se tiver erros de digitação"
pokedexHelp.searchByNumber.heading,Search by number,Procura por número
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, type 1, #1, 001, #0001, etc.","Procura por número na NacionalDex. Se quiser Bulbasauro, por exemplo, procure por 1, não #001!"
pokedexHelp.searchByType.heading,Search by type,Procura por tipo
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Aqui estão alguns exemplos de como procurar por algum tipo
pokedexHelp.searchExamples.type.query,fire,fogo
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have Fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Procure por um Pokémon que tenha fogo como um de seus tipos em qualquer forma (por exemplo Charmandar, Charizard ou Rotom)."
pokedexHelp.searchExamples.doubleType.query,water flying,água voador
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either Water/Flying (e.g. Gyarados) or Flying/Water (e.g. Cramorant).,Procure por um Pokémon que tenha água/voador (por exemplo Gyarados) ou voador/água (por exemplo Cramorant).
pokedexHelp.searchExamples.singleType.query,grass none,planta nenhum
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only Grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","Procure por um Pokémon que tenha apenas tipo planta, sem nenhum tipo secundário (por exemplo Tangela, Chikorita, Lilligant)."
pokedexHelp.back,Back to Pokédex,Voltar a Pokédex
more.contact.heading,Contact me,Entre em contato comigo
more.contact.intro,"Hi, I'm <homepage>Sage</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","Olá, eu sou  <homepage>Sage</homepage> (elu/delu), criei a Calculadora de Tipos Pokémon (pkmn.help)."
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,"Por favor, pode mandar opiniões e agradecimentos para <email>pkmn@wavebeem.com</email>."
more.settings.heading,Settings,Configurações
more.settings.language.label,Language,Idioma
more.settings.language.default,Auto detect language,Detectar idioma automaticamente
more.settings.language.official,Official languages,Idiomas Oficiais
more.settings.language.unofficial,Unofficial languages,Idiomas Não-Oficiais
more.settings.theme.label,Theme,Tema
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,"""Sistema padrão"" vai mudar automaticamente o tema dependendo das configurações de seu sistema operacional."
more.settings.theme.values.auto,System default,Sistema padrão
more.settings.theme.values.light,Light,Claro
more.settings.theme.values.dark,Dark,Escuro
more.settings.theme.values.night,Night,Noite
more.settings.typeCount.label,Number of types,Número de tipos
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,Pokémon podem brevemente ter 3 tipos ao mesmo tempo se atingido por Maldição da Floresta (Forests's Curse) ou Doçura ou Travessura (Trick-or-Treat). O campo para terceiro tipo é escondido por padrão por ser raramente utilizado.
more.settings.typeCount.values.2,Two types (2),Dois tipos (2)
more.settings.typeCount.values.3,Three types (3),Três tipos (3)
more.changes.heading,What’s new,O que há de novo
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,Acompanhe novas mudanças no <changelog>changelog</changelog>.
more.help.heading,Help,Ajuda
more.help.serviceWorker.description,This button can help fix issues in the app.,Esse botão pode ajudar a consertar problemas com a aplicação.
more.help.serviceWorker.button,Reset,Atualizar
more.privacy.heading,Privacy,Privacidade
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.","Não uso e nunca usarei propagandas ou roubarei suas informações pessoais. Eu usei <plausible>Plausible Analytics</plausible>, que é auto-fundada, independente, hospedada na Europa e não acumula cookies no seu computador."
more.givingBack.heading,Showing appreciation,Demonstrando carinho
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.","Dediquei incontáveis horas melhorando este site. Se aprecia o que fiz, por favor, considere doar para caridades que apoiam os direitos BIPOC e transsexuais."
more.thanks.heading,Credits,Agradecimentos especiais
more.thanks.description,See everyone who's helped make this website in the <credits>credits</credits>.,Veja todos que ajudaram a fazer este website nos <credits>credits</credits>.
more.openSource.heading,Open source,Fonte
more.openSource.description,Source code is available on <github>GitHub</github>.,Código da fonte está disponível em <github>GitHub</github>.
more.legalInfo.heading,Legal info,Informações Legais
types.normal,Normal,Normal
types.fighting,Fighting,Lutador
types.flying,Flying,Voador
types.poison,Poison,Venenoso
types.ground,Ground,Solo
types.rock,Rock,Pedra
types.bug,Bug,Inseto
types.ghost,Ghost,Fantasma
types.steel,Steel,Metal
types.fire,Fire,Fogo
types.water,Water,Água
types.grass,Grass,Planta
types.electric,Electric,Elétrico
types.psychic,Psychic,Psíquico
types.ice,Ice,Gelo
types.dragon,Dragon,Dragão
types.dark,Dark,Sombrio
types.fairy,Fairy,Fada
types.stellar,Stellar,Estelar
types.none,None,Nenhum
banners.updateReady.description,An update is available,Uma atualização está disponível
banners.updateReady.whatsNew,What’s new,O que há de novo
banners.updateReady.update,Update,Atualizar
general.loading,Loading…,Carregando...
general.copyLink,Copy link,Copiar link
games.label,Game generation,Geração do jogo
games.help,Use type effectiveness from different game generations.,Usar efetividade de tipos de diferentes gerações
games.byID.gen1,Generation 1,1° Geração
games.byID.gen2,Generation 2–5,2-5° Geração
games.byID.default,Generation 6+,Padrão (6° Geração +)
