Key,en,pt-PT
pokedex.stats.hp,HP,HP
pokedex.stats.hpLong,Hit Points,Pontos de Vida
pokedex.stats.attack,Attack,Ataque
pokedex.stats.attackLong,Attack,Ataque
pokedex.stats.defense,Defense,Defesa
pokedex.stats.defenseLong,Defense,Defesa
pokedex.stats.specialAttack,Sp. Atk.,Atk. Esp.
pokedex.stats.specialAttackLong,Special Attack,Ataque Especial
pokedex.stats.specialDefense,Sp. Def.,Def. Esp.
pokedex.stats.specialDefenseLong,Special Defense,Defesa Especial
pokedex.stats.speed,Speed,Velocidade
pokedex.stats.speedLong,Speed,Velocidade
pokedex.stats.total,Total,Total
pokedex.stats.totalLong,Total,Total
pokedexHelp.searchByName.heading,Search by name,Procurar por nome
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.","Podes procurar um Pokémon pelo nome. Se só te lembrares de parte do nome do Pokémon, é provável que o consigas encontrar na mesma. No entanto, a pesquisa não consegue lidar com erros de escrita de momento."
pokedexHelp.searchByNumber.heading,Search by number,Procurar por número
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, just type 1, not #001.","Pesquisa por número da dex nacional. Se quiseres Bulbasaur, basta digitar 1 e não #001."
pokedexHelp.searchByType.heading,Search by type,Pesquisar por tipo
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Eis alguns exemplos de como pesquisar por tipo.
pokedexHelp.searchExamples.type.query,fire,fogo
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Procurar Pokémons que tenham fogo como um dos seus tipos em qualquer forma (por exemplo, Charmander, Charizard, Rotom)."
pokedexHelp.searchExamples.doubleType.query,water flying,água voador
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,"Procurar Pokémons que sejam água/voadores (por exemplo, Gyarados) ou voadores/água (por exemplo, Cramorant)."
pokedexHelp.searchExamples.singleType.query,grass none,relva nenhum
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","Procurar Pokémons que sejam apenas do tipo erva, sem 2º tipo (por exemplo, Tangela, Chikorita, Lilligant)."
pokedexHelp.back,Back to Pokédex,Voltar à Pokédex
more.contact.heading,Contact me,Contacta-me
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","Olá, eu sou o <homepage>Sage Fennel</homepage> (eles/elas), e criei a Calculadora de Tipos de Pokémon (pkmn.help)."
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,Envia as tuas ideias e agradecimentos por correio eletrónico para <email>pkmn@wavebeem.com</email>.
more.settings.heading,Settings,Definições
more.settings.language.label,Language,Linguagem
more.settings.language.default,Auto detect language,Deteção automática de idioma
more.settings.language.official,Official languages,Línguas oficiais
more.settings.language.unofficial,Unofficial languages,Línguas não oficiais
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.","O suporte linguístico está incompleto. Por favor, envia-me um e-mail e eu pago-te para traduzir."
more.settings.theme.label,Theme,Tema
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,"A ""predefinição do sistema"" muda automaticamente consoante as definições do teu sistema operativo."
more.settings.theme.values.auto,System default,Predefinição do sistema
more.settings.theme.values.light,Light,Luz
more.settings.theme.values.dark,Dark,Escuro
more.settings.typeCount.label,Number of types,Número de tipos
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,"Os Pokémon podem ter três tipos de uma só vez se forem atingidos pela Maldição da Floresta ou pelo Travessura-ou-Doçura. O campo do terceiro tipo está oculto por defeito, uma vez que raramente é utilizado."
more.settings.typeCount.values.2,Two types (2),Dois tipos (2)
more.settings.typeCount.values.3,Three types (3),Três tipos (3)
more.changes.heading,What’s new,O que há de novo
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,Vê o que há de novo em <changelog>changelog</changelog>.
more.help.heading,Help,Ajuda
more.help.serviceWorker.description,This button can help fix issues in the app.,Este botão pode ajudar a resolver problemas na aplicação.
more.help.serviceWorker.button,Reset,Reiniciar
more.privacy.heading,Privacy,Privacidade
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.","Nunca publicarei anúncios ou roubarei os teus dados pessoais. Utilizo o <plausible>Plausible Analytics</plausible>, que é auto-financiado, independente, está alojado na UE e não armazena quaisquer cookies no teu computador."
more.givingBack.heading,Showing appreciation,Demonstrar apreço
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.","Passei inúmeras horas a melhorar este site. Se aprecias o que fiz, considera fazer um donativo a instituições de caridade que apoiem a justiça racial e os direitos dos transexuais."
more.thanks.heading,Special thanks,Agradecimentos especiais
more.thanks.sections.da,Danish translation,Tradução para dinamarquês
more.thanks.sections.ru,Russian translation,Tradução para russo
more.thanks.sections.kk,Kazakh translation,Tradução para cazaque
more.thanks.sections.pt-PT,Portuguese (Portugal) translation,Tradução para português (Portugal)
more.thanks.sections.pt-BR,Portuguese (Brazil) translation,Tradução para português (Brasil)
more.thanks.sections.zh-Hans,Simplified Chinese translation,Tradução para chinês simplificado
more.thanks.sections.zh-Hant,Traditional Chinese translation,Tradução para chinês tradicional
more.thanks.sections.no,Norwegian translation,Tradução para norueguês
more.thanks.sections.ro,Romanian translation,Tradução para romeno
more.thanks.sections.pl,Polish translation,Tradução para polaco
more.thanks.sections.fr,French translation,Tradução para francês
more.thanks.sections.de,German translation,Tradução para alemão
more.thanks.sections.it,Italian translation,Tradução para italiano
more.thanks.sections.ko,Korean translation,Tradução para coreano
more.thanks.sections.ja,Japanese translation,Tradução para japonês
more.thanks.sections.nl,Dutch translation,Tradução para neerlandês
more.thanks.sections.vi,Vietnamese translation,
more.thanks.sections.testing,Testing,Testes
more.thanks.sections.other,Several anonymous Poké Fans,Vários fãs anónimos de Pokémon
more.openSource.heading,Open source,Fonte pública
more.openSource.description,Source code is available on <github>GitHub</github>.,O código-fonte está disponível no <github>GitHub</github>.
more.legalInfo.heading,Legal info,Informações legais
types.normal,Normal,Normal
types.fighting,Fighting,Luta
types.flying,Flying,Voador
types.poison,Poison,Veneno
types.ground,Ground,Terra
types.rock,Rock,Pedra
types.bug,Bug,Inseto
types.ghost,Ghost,Fantasma
types.steel,Steel,Aço
types.fire,Fire,Fogo
types.water,Water,Água
types.grass,Grass,Relva
types.electric,Electric,Elétrico
types.psychic,Psychic,Psíquico
types.ice,Ice,Gelo
types.dragon,Dragon,Dragão
types.dark,Dark,Sombrio
types.fairy,Fairy,Fada
types.stellar,Stellar,Estelar
types.none,None,Nenhum
banners.updateReady.description,An update is available,Está disponível uma atualização
banners.updateReady.whatsNew,What’s new,O que há de novo
banners.updateReady.update,Update,Atualizar
general.loading,Loading…,Carregando...
general.copyLink,Copy link,Copiar ligação
games.label,Game generation,Geração do jogo
games.help,Use type effectiveness from different game generations.,Utilizar a eficácia de tipos de diferentes gerações dos jogos.
games.byID.gen1,Generation 1,Geração 1
games.byID.gen2,Generation 2–5,Geração 2-5
games.byID.default,Default (generation 6+),Predefinição (geração 6+)
