Key,en,zh-Hans
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.",你可以按名称搜索宝可梦。如果你只记得宝可梦名称的一部分，系统或许仍能帮你找到。但它现在无法处理拼字错误。
pokedexHelp.searchByNumber.heading,Search by number,按编号搜索
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, just type 1, not #001.",按全国图鉴编号搜索。如果你要找妙蛙种子，写1就行，而非#001。
pokedexHelp.searchByType.heading,Search by type,按属性搜索
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,以下为按属性搜索的几个例子作为参考。
pokedexHelp.searchExamples.type.query,fire,火
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).",搜索拥有火属性为其任何形态的任一属性的宝可梦（例：小火龙、喷火龙、洛托姆）。
pokedexHelp.searchExamples.doubleType.query,water flying,水 飞行
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,搜索属性为水和飞行（例：暴鲤龙）或飞行和水（例：古月鸟）的宝可梦。
pokedexHelp.searchExamples.singleType.query,grass none,草 无
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).",搜索只有草属性，没有第二属性的宝可梦（例：蔓藤怪、菊草叶、裙儿小姐）。
pokedexHelp.back,Back to Pokédex,返回图鉴
more.contact.heading,Contact me,联系我
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).",你好，我是 <homepage>Sage Fennel</homepage>（they/them)，是宝可梦属性计算器（pkmn.help）的作者。
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,请将你的想法和感谢寄到 <email>pkmn@wavebeem.com</email>。
more.settings.heading,Settings,设定
more.settings.language.label,Language,语言
more.settings.language.default,Auto detect language,自动检测语言
more.settings.language.official,Official languages,官方语言
more.settings.language.unofficial,Unofficial languages,非官方语言
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.",语言支持不完整。请给我发邮件，我会有偿请你翻译。
more.settings.theme.label,Theme,背景
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,“系统默认”会根据你的系统设定自动调整。
more.settings.theme.values.auto,System default,系统默认
more.settings.theme.values.light,Light,浅色主题
more.settings.theme.values.dark,Dark,深色主题
more.settings.typeCount.label,Number of types,属性的数量
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,如果宝可梦被森林诅咒或万圣夜攻击后则会被追加第三种属性。由于例子很少的原因，第三属性的栏位默认为隐藏。
more.settings.typeCount.values.2,Two types (2),两种属性（2）
more.settings.typeCount.values.3,Three types (3),三种属性（3）
more.changes.heading,What’s new,新闻
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,点这里 <changelog>changelog</changelog> 查看更新
more.help.heading,Help,帮助
more.help.serviceWorker.description,This button can help fix issues in the app.,这个按钮能帮助修复程序的问题。
more.help.serviceWorker.button,Reset,重置
more.privacy.heading,Privacy,隐私
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.",我绝不会投放广告或盗取你的个人数据。我使用的是 <plausible>Plausible Analytics</plausible>，它自筹资金、独立、在欧盟托管，并且不会在您的计算机上存储任何 cookie。
more.givingBack.heading,Showing appreciation,表示感恩
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.",我花了无数小时改善这个网站。如果你喜欢我做的内容的话，请考虑向支持 BIPOC 和跨性别人士权益的慈善机构捐款。
more.thanks.heading,Special thanks,特别感谢
more.thanks.sections.da,Danish translation,丹麦语翻译
more.thanks.sections.ru,Russian translation,俄语翻译
more.thanks.sections.kk,Kazakh translation,哈萨克语翻译
more.thanks.sections.pt-PT,Portuguese (Portugal) translation,葡萄牙语（葡萄牙）翻译
more.thanks.sections.pt-BR,Portuguese (Brazil) translation,巴西葡萄牙语翻译
more.thanks.sections.zh-Hans,Simplified Chinese translation,简体中文翻译
more.thanks.sections.zh-Hant,Traditional Chinese translation,繁体中文翻译
more.thanks.sections.no,Norwegian translation,
more.thanks.sections.ro,Romanian translation,罗马尼亚语翻译
more.thanks.sections.pl,Polish translation,波兰语翻译
more.thanks.sections.fr,French translation,法语翻译
more.thanks.sections.de,German translation,德语翻译
more.thanks.sections.it,Italian translation,意大利语翻译
more.thanks.sections.ko,Korean translation,韩语翻译
more.thanks.sections.ja,Japanese translation,日语翻译
more.thanks.sections.nl,Dutch translation,荷兰语翻译
more.thanks.sections.testing,Testing,测试
more.thanks.sections.other,Several anonymous Poké Fans,数位匿名宝可梦玩家
more.openSource.heading,Open source,开放原始码
more.openSource.description,Source code is available on <github>GitHub</github>.,源代码可在 <github>GitHub</github> 上获得。
more.legalInfo.heading,Legal info,法律信息
types.normal,Normal,一般
types.fighting,Fighting,格斗
types.flying,Flying,飞行
types.poison,Poison,毒
types.ground,Ground,地面
types.rock,Rock,岩石
types.bug,Bug,虫
types.ghost,Ghost,幽灵
types.steel,Steel,钢
types.fire,Fire,火
types.water,Water,水
types.grass,Grass,草
types.electric,Electric,电
types.psychic,Psychic,超能力
types.ice,Ice,冰
types.dragon,Dragon,龙
types.dark,Dark,恶
types.fairy,Fairy,妖精
types.stellar,Stellar,星晶
types.none,None,无
banners.updateReady.description,An update is available,有更新可用
banners.updateReady.whatsNew,What’s new,近期新闻
banners.updateReady.update,Update,更新
general.loading,Loading…,加载中……
general.copyLink,Copy link,复制链接
games.label,Game generation,游戏世代
games.help,Use type effectiveness from different game generations.,使用不同游戏世代的属性相克。
games.byID.gen1,Generation 1,第一世代
games.byID.gen2,Generation 2–5,第二至五世代
games.byID.default,Default (generation 6+),默认（第六世代起）
