Key,en,ro
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.","Puteți căuta un Pokémon după nume. Dacă îți amintești doar o parte din numele Pokémonului, probabil că îl poate găsi pentru tine. Totuși, nu poate face față greșelilor de scriere acum."
pokedexHelp.searchByNumber.heading,Search by number,Cauta dupa numar
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, just type 1, not #001.","Cauta dupa numar de Pokedex national. Daca vrei bulbasaur, pune doar 1, nu #001."
pokedexHelp.searchByType.heading,Search by type,Cauta dupa tip
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Iată câteva exemple despre cum să căutați după tip.
pokedexHelp.searchExamples.type.query,fire,Foc
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Căutați Pokémon care au foc ca oricare dintre tipurile lor, sub orice formă (de exemplu, Charmander, Charizard, Rotom)."
pokedexHelp.searchExamples.doubleType.query,water flying,apa zburand
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,Cauta Pokémoni care sunt apa/zburand ( de exemplu: Gyrados) sau zburand/apa (de exemplu: Cramorant)
pokedexHelp.searchExamples.singleType.query,grass none,iarba nimic
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","Căutați Pokémon care sunt doar tip iarbă, fără al doilea tip (de exemplu, Tangela, Chikorita, Lilligant)."
pokedexHelp.back,Back to Pokédex,Înapoi la Pokedex
more.contact.heading,Contact me,Contacteaza-ma
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","Bună, sunt <homepage>Sage Fennel</homepage> (ei) și am creat Calculator tip Pokémon (pkmn.help)."
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,Trimite idei si mulțumiri la <email>pkmn@wavebeem.com</email>.
more.settings.heading,Settings,Setari
more.settings.language.label,Language,Limbi
more.settings.language.default,Auto detect language,
more.settings.language.official,Official languages,
more.settings.language.unofficial,Unofficial languages,
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.","Suportul lingvistic este incomplet. Vă rog să-mi trimiteți un e-mail, vă voi plăti pentru traducere."
more.settings.theme.label,Theme,Tema
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,„Implicit sistem” se va schimba automat în funcție de setările sistemului de operare.
more.settings.theme.values.auto,System default,Mod implicit
more.settings.theme.values.light,Light,Lumina
more.settings.theme.values.dark,Dark,Întunecat
more.settings.typeCount.label,Number of types,Numarul de tipuri
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,"Pokémonul poate avea trei tipuri simultan dacă este lovit cu Blestemul Forests sau Trick-or-Treat. Al treilea câmp de tip este ascuns în mod implicit, deoarece este rar folosit."
more.settings.typeCount.values.2,Two types (2),Doua tipuri (2)
more.settings.typeCount.values.3,Three types (3),Tri tipuri (3)
more.changes.heading,What’s new,
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,
more.help.heading,Help,Ajutor
more.help.serviceWorker.description,This button can help fix issues in the app.,Acest buton poate repara probleme in aceasta aplicatie.
more.help.serviceWorker.button,Reset,Resetare
more.privacy.heading,Privacy,Intimitate
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.","Nu voi difuza niciodată reclame sau nu voi fura datele dumneavoastră personale. Folosesc <plausible>Plausible Analytics</plausible>, care este autofinanțat, independent, găzduit în UE și nu stochează niciun cookie pe computerul dvs."
more.givingBack.heading,Showing appreciation,Aratare de apreciare
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.","Eu am petrecut o multime de ore imbunatatind acest site. Daca apreciezi ce am facut, te rog considera donare la organizatii de caritate care supporta BIPOC si drepturile transgender."
more.thanks.heading,Special thanks,Multumri speciale
more.thanks.sections.da,Danish translation,Danish translation
more.thanks.sections.ru,Russian translation,Russian translation
more.thanks.sections.kk,Kazakh translation,Kazakh translation
more.thanks.sections.pt-PT,Portuguese (Portugal) translation,
more.thanks.sections.pt-BR,Portuguese (Brazil) translation,Traducere Portugheză Braziliană
more.thanks.sections.zh-Hans,Simplified Chinese translation,Traducere Chineză
more.thanks.sections.zh-Hant,Traditional Chinese translation,
more.thanks.sections.no,Norwegian translation,
more.thanks.sections.ro,Romanian translation,Traducere Română
more.thanks.sections.pl,Polish translation,
more.thanks.sections.fr,French translation,Traducere Franceză
more.thanks.sections.de,German translation,Traducere Germana
more.thanks.sections.it,Italian translation,Traducere Italiana
more.thanks.sections.ko,Korean translation,
more.thanks.sections.ja,Japanese translation,Traducere Japoneza
more.thanks.sections.nl,Dutch translation,
more.thanks.sections.testing,Testing,Testare
more.thanks.sections.other,Several anonymous Poké Fans,Cativa fani anomimi Pokémon
more.openSource.heading,Open source,Sursa Deschisa
more.openSource.description,Source code is available on <github>GitHub</github>.,Codul de sursa e valabil pe <github>Github</github>.
more.legalInfo.heading,Legal info,Informatie legala
types.normal,Normal,Normal
types.fighting,Fighting,Luptand
types.flying,Flying,Zburand
types.poison,Poison,Otrava
types.ground,Ground,Pamânt
types.rock,Rock,Piatra
types.bug,Bug,Insecta
types.ghost,Ghost,Fantoma
types.steel,Steel,Oțel
types.fire,Fire,Foc
types.water,Water,Apa
types.grass,Grass,Iarba
types.electric,Electric,Electric
types.psychic,Psychic,Psihic
types.ice,Ice,Gheața
types.dragon,Dragon,Dragon
types.dark,Dark,Întuneric
types.fairy,Fairy,Zana
types.stellar,Stellar,
types.none,None,Nimic
banners.updateReady.description,An update is available,Poti sa updatezi
banners.updateReady.whatsNew,What’s new,
banners.updateReady.update,Update,Updateaza
general.loading,Loading…,Se Incarca...
general.copyLink,Copy link,
games.label,Game generation,Generație de joc
games.help,Use type effectiveness from different game generations.,Folosește efectivitate de fel de la generatii de joc diferite
games.byID.gen1,Generation 1,Generatia 1
games.byID.gen2,Generation 2–5,Generatile 2-5
games.byID.default,Default (generation 6+),Mod implicit (Generatia 6+)
