Key,en,ja
pokedex.stats.attackLong,Attack,こうげき
pokedex.stats.defense,Defense,ぼうぎょ
pokedex.stats.defenseLong,Defense,ぼうぎょ
pokedex.stats.specialAttack,Sp. Atk.,とくこう
pokedex.stats.specialAttackLong,Special Attack,とくこう
pokedex.stats.specialDefense,Sp. Def.,とくぼう
pokedex.stats.specialDefenseLong,Special Defense,とくぼう
pokedex.stats.speed,Speed,すばやさ
pokedex.stats.speedLong,Speed,すばやさ
pokedex.stats.total,Total,合計
pokedex.stats.totalLong,Total,合計
pokedexHelp.searchByName.heading,Search by name,名前で検索
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.",ポケモン名で検索することが出来ます。部分一致でも検索することが出来ます。誤字は検索できません。
pokedexHelp.searchByNumber.heading,Search by number,番号で検索
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, type 1, #1, 001, #0001, etc.",#001のかわりに1のような自然な番号で検索する。
pokedexHelp.searchByType.heading,Search by type,タイプで検索
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,タイプで検索する方法についてのいくつかの例
pokedexHelp.searchExamples.type.query,fire,ほのお
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have Fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).",どのすがたであっても「ほのお」を含むポケモンを検索する（例：ヒトカゲ、リザードン、ロトム）。
pokedexHelp.searchExamples.doubleType.query,water flying,みず　ひこう
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either Water/Flying (e.g. Gyarados) or Flying/Water (e.g. Cramorant).,みず／ひこう（例：ギャラドス）またはひこう/みず（例：ウッウ）に一致するポケモンを検索する。
pokedexHelp.searchExamples.singleType.query,grass none,くさ　なし
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only Grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).",くさタイプだけをもち、2つ目のタイプを持たないポケモンを検索する。(例モンジャラ、チコリータ)
pokedexHelp.back,Back to Pokédex,ポケモンずかんにもどる
more.contact.heading,Contact me,運営者に連絡
more.contact.intro,"Hi, I'm <homepage>Sage</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).",こんにちは、私は<homepage>セージ</homepage>です。ポケモン・タイプ・けいさんきを作りました。
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,考えとありがとうを<email>pkmn@wavebeem.com</email>に電子メールで送ってください。
more.settings.heading,Settings,設定
more.settings.language.label,Language,言語
more.settings.language.default,Auto detect language,自動言語検出
more.settings.language.official,Official languages,公用語
more.settings.language.unofficial,Unofficial languages,非公用語
more.settings.theme.label,Theme,テーマ
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,「システムのデフォルト」は、オペレーティングシステムの設定に応じて自動的に変更されます。
more.settings.theme.values.auto,System default,システムのデフォルト
more.settings.theme.values.light,Light,ライト（光）
more.settings.theme.values.dark,Dark,ダーク（闇）
more.settings.theme.values.night,Night,ナイト（夜）
more.settings.typeCount.label,Number of types,タイプの数
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,「もりののろい」か「ハロウィン」を使うとき、このセッティングを使います。
more.settings.typeCount.values.2,Two types (2),２つのタイプ
more.settings.typeCount.values.3,Three types (3),３つのタイプ
more.changes.heading,What’s new,新機能
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,<changelog>changelog</changelog>の新しい内容
more.help.heading,Help,ヘルプ
more.help.serviceWorker.description,This button can help fix issues in the app.,このボタンはアプリの問題をなおすのを手伝えることがあります。
more.help.serviceWorker.button,Reset,リセット
more.privacy.heading,Privacy,プライバシー
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.",広告を掲載したり、個人データを盗んだりすることは決してありません。 私は<plausible>Plausible Analytics</plausible>を使用しています。これは、自己資金で独立しており、EUでホストされており、コンピューターにcookieを保存しません。
more.givingBack.heading,Showing appreciation,感謝の気持ちを表す
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.",私はこのサイトの改善に数えられないほどの時間を費やしています。もしサイトが気に入ったらBIPOCとトランスジェンダーの権利のためのチャリティーに寄付することを検討下さい。
more.thanks.heading,Credits,助けた人々
more.thanks.description,See everyone who's helped make this website in the <credits>credits</credits>.,
more.openSource.heading,Open source,オープンソース
more.openSource.description,Source code is available on <github>GitHub</github>.,ソースコードは<github>GitHub</github>上で有効です。
more.legalInfo.heading,Legal info,法的情報
types.normal,Normal,ノーマル
types.fighting,Fighting,かくとう
types.flying,Flying,ひこう
types.poison,Poison,どく
types.ground,Ground,じめん
types.rock,Rock,いわ
types.bug,Bug,むし
types.ghost,Ghost,ゴースト
types.steel,Steel,はがね
types.fire,Fire,ほのお
types.water,Water,みず
types.grass,Grass,くさ
types.electric,Electric,でんき
types.psychic,Psychic,エスパー
types.ice,Ice,こおり
types.dragon,Dragon,ドラゴン
types.dark,Dark,あく
types.fairy,Fairy,フェアリー
types.stellar,Stellar,ステラ
types.none,None,なし
banners.updateReady.description,An update is available,アップデートが利用可能です
banners.updateReady.whatsNew,What’s new,新機能
banners.updateReady.update,Update,更新
general.loading,Loading…,読み込み中…
general.copyLink,Copy link,リンクをコピー
games.label,Game generation,ゲームのジェネレーション1
games.help,Use type effectiveness from different game generations.,さまざまなゲームジェネレーション1タイプの効果を使用します。
games.byID.gen1,Generation 1,ジェネレーション１
games.byID.gen2,Generation 2–5,ジェネレーション２〜５
games.byID.default,Generation 6+,デフォルト（ジェネレーション６〜）
