Key,en,fr
pokedex.stats.defense,Defense,Déf.
pokedex.stats.defenseLong,Defense,Défense
pokedex.stats.specialAttack,Sp. Atk.,Atk. Spé.
pokedex.stats.specialAttackLong,Special Attack,Attaque Spéciale
pokedex.stats.specialDefense,Sp. Def.,Déf. Spé.
pokedex.stats.specialDefenseLong,Special Defense,Défense Spéciale
pokedex.stats.speed,Speed,Vit.
pokedex.stats.speedLong,Speed,Vitesse
pokedex.stats.total,Total,Total
pokedex.stats.totalLong,Total,Total
pokedexHelp.searchByName.heading,Search by name,Rechercher par nom
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.","Vous pouvez rechercher un Pokémon par nom. Si vous ne vous rappelez que d'une partie du nom du Pokémon, cela fera probablement l'affaire. Le site ne peut pas gérer les fautes de frappes pour l'instant."
pokedexHelp.searchByNumber.heading,Search by number,Rechercher par nombre
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, just type 1, not #001.","Recherche par numéro de Pokédex national. Si vous souhaitez rechercher Bulbizarre, tapez 1 et non #001."
pokedexHelp.searchByType.heading,Search by type,Recherche par type
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Voici quelques exemples de recherches par types
pokedexHelp.searchExamples.type.query,fire,Feu
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Rechercher des Pokémon qui ont le type feu dans n'importe la quelle de leur forme (ex Salamèche, Dracaufeu, Motisma)."
pokedexHelp.searchExamples.doubleType.query,water flying,eau vol
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,Rechercher des Pokémon qui sont de types eau/vol (ex Léviator) ou de type vol/eau (Nigosier).
pokedexHelp.searchExamples.singleType.query,grass none,Plante aucun
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","Rechercher les Pokémon qui ont seulement le type plante, sans second type (ex. Saquedeneu, Germinon, Fragilady)"
pokedexHelp.back,Back to Pokédex,Revenir au Pokédex
more.contact.heading,Contact me,Me contacter
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","Bonjour, je suis <homepage>Sage Fennel</homepage> (iel), et j'ai créé le Calculateur de types Pokémon (pkmn.help)."
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,Veuillez envoyer vos idées et vos remerciements à <email>pkmn@wavebeem.com</email>.
more.settings.heading,Settings,Paramètres
more.settings.language.label,Language,Langage
more.settings.language.default,Auto detect language,Détecter automatiquement la langue
more.settings.language.official,Official languages,Langues officielles
more.settings.language.unofficial,Unofficial languages,Langues non-officielles
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.",Merci de me contacter si certaines traductions sont manquantes ou erronées et que vous vous sentez capable d'aider.
more.settings.theme.label,Theme,Thème
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,"""Thème du système par défaut"" changera automatiquement en fonction de vos paramètres de votre système d'exploitation."
more.settings.theme.values.auto,System default,Thème du système par défaut
more.settings.theme.values.light,Light,Clair
more.settings.theme.values.dark,Dark,Sombre
more.settings.typeCount.label,Number of types,Nombre de types
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,Un Pokémon peut avoir brièvement 3 types à la fois s'il est touché par la capacité Maléfice Sylvain ou Halloween. Le champ de sélection du troisième type est caché par défaut car il est rarement utilisé
more.settings.typeCount.values.2,Two types (2),Deux types (2)
more.settings.typeCount.values.3,Three types (3),Trois types (3)
more.changes.heading,What’s new,Quoi de neuf
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,Voici ce qui a changé dans les <changelog>notes de mise à jour</changelog>
more.help.heading,Help,Aide
more.help.serviceWorker.description,This button can help fix issues in the app.,Ce bouton peut aider à résoudre les problèmes dans l’application
more.help.serviceWorker.button,Reset,Réinitialiser
more.privacy.heading,Privacy,Confidentialité
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.","Je ne diffuserais jamais de publicité ni ne volerais vos données personnelles. J'utilise <plausible>Plausible Analytics</plausible>, qui est autofinancé, indépendant, hébergé dans l'Union Européenne et ne stocke aucun cookie sur votre ordinateur"
more.givingBack.heading,Showing appreciation,Me remercier
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.","J'ai passé d'innombrables heures à améliorer ce site. Si vous appréciez ce que j'ai fait, veuillez envisager s’il vous plaît de faire un don à des organismes de bienfaisance qui soutiennent le BIPOC et les droits des transgenres."
more.thanks.heading,Special thanks,Remerciements spéciaux
more.thanks.sections.da,Danish translation,Traduction en Danois
more.thanks.sections.ru,Russian translation,Traduction en Russe
more.thanks.sections.kk,Kazakh translation,Traduction en Kazakh
more.thanks.sections.pt-PT,Portuguese (Portugal) translation,Traduction en Portugais
more.thanks.sections.pt-BR,Portuguese (Brazil) translation,Traduction en Portugais Brésilien
more.thanks.sections.zh-Hans,Simplified Chinese translation,Traduction en Chinois Simplifié
more.thanks.sections.zh-Hant,Traditional Chinese translation,Traduction en Chinois Traditionnel
more.thanks.sections.no,Norwegian translation,Traduction en Norvègien
more.thanks.sections.ro,Romanian translation,Traduction en Roumain
more.thanks.sections.pl,Polish translation,Traduction en Polonais
more.thanks.sections.fr,French translation,Traduction en Français
more.thanks.sections.de,German translation,Traduction en Allemand
more.thanks.sections.it,Italian translation,Traduction en Italien
more.thanks.sections.ko,Korean translation,Traduction en Coréen
more.thanks.sections.ja,Japanese translation,Traduction en Japonais
more.thanks.sections.nl,Dutch translation,Traduction en Néerlandais
more.thanks.sections.testing,Testing,Tests
more.thanks.sections.other,Several anonymous Poké Fans,Plusieurs PokéFans anonymes
more.openSource.heading,Open source,Open source
more.openSource.description,Source code is available on <github>GitHub</github>.,Le code source est disponible sur <github>GitHub</github>.
more.legalInfo.heading,Legal info,Informations légales
types.normal,Normal,Normal
types.fighting,Fighting,Combat
types.flying,Flying,Vol
types.poison,Poison,Poison
types.ground,Ground,Sol
types.rock,Rock,Roche
types.bug,Bug,Insecte
types.ghost,Ghost,Spectre
types.steel,Steel,Acier
types.fire,Fire,Feu
types.water,Water,Eau
types.grass,Grass,Plante
types.electric,Electric,Électrik
types.psychic,Psychic,Psy
types.ice,Ice,Glace
types.dragon,Dragon,Dragon
types.dark,Dark,Ténèbres
types.fairy,Fairy,Fée
types.stellar,Stellar,Stellaire
types.none,None,Aucun
banners.updateReady.description,An update is available,Une mise à jour est disponible !
banners.updateReady.whatsNew,What’s new,Quoi de neuf
banners.updateReady.update,Update,Mettre à jour
general.loading,Loading…,Chargement…
general.copyLink,Copy link,Copier le lien
games.label,Game generation,Génération du jeu
games.help,Use type effectiveness from different game generations.,Utiliser les efficacités de types de différentes générations de jeux.
games.byID.gen1,Generation 1,Génération 1
games.byID.gen2,Generation 2–5,Génération 2-5
games.byID.default,Default (generation 6+),Par défaut (Génération 6+)
